URL,Verified,Verified Accounts,Year,Quarter,Month,Day,Name / ID,Location,Has Description,Followers,Status Available,Accounts Without a Link,Brand-Platform-URL-work.URL
twitter.com/_arind,TRUE,Verified Accounts,2021,Qtr 1,March,9,,Argentina,Has Description,31492,TRUE,Has Link,twitter.com/ARGesp
twitter.com/_arind,TRUE,Verified Accounts,2021,Qtr 4,December,31,dove_ar,Argentina,Has Description,31097,TRUE,Has Link,twitter.com/ARGesp
twitter.com/_arind,TRUE,Verified Accounts,2022,Qtr 1,January,31,dove_ar,Argentina,Has Description,31065,TRUE,Has Link,twitter.com/ARGesp
twitter.com/_arind,TRUE,Verified Accounts,2022,Qtr 2,May,9,dove_ar,Argentina,Has Description,30992,TRUE,Has Link,twitter.com/ARGesp
twitter.com/_beain,FALSE,Non Verified Accounts,2021,Qtr 1,March,9,AXE Belgium,,Has Description,195,TRUE,Has Link,twitter.com/Axetam
twitter.com/_beain,FALSE,Non Verified Accounts,2021,Qtr 4,December,31,AXE Belgium,,Has Description,188,TRUE,Has Link,twitter.com/Axetam
twitter.com/_beain,FALSE,Non Verified Accounts,2022,Qtr 1,January,31,AXE Belgium,,Has Description,187,TRUE,Has Link,twitter.com/Axetam
twitter.com/_beain,FALSE,Non Verified Accounts,2022,Qtr 2,May,9,AXE Belgium,,Has Description,188,TRUE,Has Link,twitter.com/Axetam
twitter.com/_bo_ph,FALSE,Non Verified Accounts,2021,Qtr 1,March,9,,,Has Description,97,TRUE,No Link,twitter.com/IDNmex
twitter.com/_bo_ph,FALSE,Non Verified Accounts,2021,Qtr 4,December,31,Rexona Bolivia,,No Description,97,TRUE,No Link,twitter.com/IDNmex
twitter.com/_bo_ph,FALSE,Non Verified Accounts,2022,Qtr 1,January,31,Rexona Bolivia,,No Description,97,TRUE,No Link,twitter.com/IDNmex
twitter.com/_bo_ph,FALSE,Non Verified Accounts,2022,Qtr 2,May,9,Rexona Bolivia,,No Description,97,TRUE,No Link,twitter.com/IDNmex
twitter.com/_boTAM,FALSE,Non Verified Accounts,2021,Qtr 1,March,9,,,Has Description,10,TRUE,No Link,twitter.com/MDAaMx
twitter.com/_boTAM,FALSE,Non Verified Accounts,2021,Qtr 4,December,31,Dove Bolivia,,No Description,11,TRUE,No Link,twitter.com/MDAaMx
twitter.com/_boTAM,FALSE,Non Verified Accounts,2022,Qtr 1,January,31,Dove Bolivia,,No Description,11,TRUE,No Link,twitter.com/MDAaMx
twitter.com/_boTAM,FALSE,Non Verified Accounts,2022,Qtr 2,May,9,Dove Bolivia,,No Description,11,TRUE,No Link,twitter.com/MDAaMx
twitter.com/_desia,TRUE,Verified Accounts,2021,Qtr 1,March,9,,"Hamburg, Germany",Has Description,131,TRUE,Has Link,twitter.com/Mensia
twitter.com/_desia,TRUE,Verified Accounts,2021,Qtr 4,December,31,Rexona Deutschland,"Hamburg, Germany",Has Description,135,TRUE,Has Link,twitter.com/Mensia
twitter.com/_desia,TRUE,Verified Accounts,2022,Qtr 1,January,31,Rexona Deutschland,"Hamburg, Germany",Has Description,134,TRUE,Has Link,twitter.com/Mensia
twitter.com/_desia,TRUE,Verified Accounts,2022,Qtr 2,May,9,Rexona Deutschland,"Hamburg, Germany",Has Description,134,TRUE,Has Link,twitter.com/Mensia
twitter.com/_elbia,FALSE,Non Verified Accounts,2021,Qtr 1,March,9,,,Has Description,8,TRUE,No Link,twitter.com/Menypt
twitter.com/_elbia,FALSE,Non Verified Accounts,2021,Qtr 4,December,31,Rexona El Salvador,,Has Description,9,TRUE,No Link,twitter.com/Menypt
twitter.com/_elbia,FALSE,Non Verified Accounts,2022,Qtr 1,January,31,Rexona El Salvador,,Has Description,10,TRUE,No Link,twitter.com/Menypt
twitter.com/_elbia,FALSE,Non Verified Accounts,2022,Qtr 2,May,9,Rexona El Salvador,,Has Description,10,TRUE,No Link,twitter.com/Menypt
twitter.com/_ESyMY,TRUE,Verified Accounts,2021,Qtr 4,December,31,Dove Espaï¿½,Espaï¿½,Has Description,6792,TRUE,Has Link,twitter.com/TAM_ph
twitter.com/_ESyMY,TRUE,Verified Accounts,2022,Qtr 1,January,31,Dove Espaï¿½,Espaï¿½,Has Description,6789,TRUE,Has Link,twitter.com/TAM_ph
twitter.com/_ESyMY,TRUE,Verified Accounts,2022,Qtr 2,May,9,Dove Espaï¿½,Espaï¿½,Has Description,6785,TRUE,Has Link,twitter.com/TAM_ph
twitter.com/_gr_SA,FALSE,Non Verified Accounts,2021,Qtr 1,March,9,,Greece,Has Description,113,TRUE,Has Link,twitter.com/TAM_ph
