URL,Channel Has Title,Has Description,Location,Year,Quarter,Month,Day,Is Verified,Subscriber
youtube.com/channel/UCcQgYUSp3PORuZIQBsXdk4A,Has Title,No Description,Location missing,2021,Qtr 1,March,10,,1030
youtube.com/channel/UCcQgYUSp3PORuZIQBsXdk4A,Has Title,No Description,Location missing,2021,Qtr 3,July,29,,1030
youtube.com/channel/UCcQgYUSp3PORuZIQBsXdk4A,Has Title,No Description,Location missing,2021,Qtr 4,December,30,FALSE,1030
youtube.com/channel/UCcQgYUSp3PORuZIQBsXdk4A,Has Title,No Description,Location missing,2022,Qtr 1,January,28,FALSE,1030
youtube.com/channel/UCcQgYUSp3PORuZIQBsXdk4A,Has Title,No Description,Location missing,2022,Qtr 2,May,21,FALSE,1020
youtube.com/channel/UCPf9LqzE9yjlIuYWxUww2KQ,Has Title,No Description,Location missing,2021,Qtr 3,July,29,,7950
youtube.com/channel/UCPf9LqzE9yjlIuYWxUww2KQ,Has Title,No Description,Location missing,2021,Qtr 4,December,30,FALSE,7930
youtube.com/channel/UCPf9LqzE9yjlIuYWxUww2KQ,Has Title,No Description,Location missing,2022,Qtr 1,January,28,FALSE,7930
youtube.com/channel/UCPf9LqzE9yjlIuYWxUww2KQ,Has Title,No Description,Location missing,2022,Qtr 2,May,21,FALSE,7910
youtube.com/channel/UCBcwtYqse4Yb13bI4k4e4xw,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,112000
youtube.com/channel/UCBcwtYqse4Yb13bI4k4e4xw,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,TRUE,113000
youtube.com/channel/UCBcwtYqse4Yb13bI4k4e4xw,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,TRUE,112000
youtube.com/channel/UCBcwtYqse4Yb13bI4k4e4xw,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,TRUE,115000
youtube.com/channel/UCKLyo3uAEM4aNTYkHoBGTOw,Has Title,Has Description,Location missing,2021,Qtr 1,March,10,,0
youtube.com/channel/UCKLyo3uAEM4aNTYkHoBGTOw,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,0
youtube.com/channel/UCKLyo3uAEM4aNTYkHoBGTOw,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,
youtube.com/channel/UCKLyo3uAEM4aNTYkHoBGTOw,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,0
youtube.com/channel/UCKLyo3uAEM4aNTYkHoBGTOw,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,0
youtube.com/channel/UCNgav6lMQF1zFco9_W_GkoQ,Has Title,Has Description,Location missing,2021,Qtr 1,March,10,,0
youtube.com/channel/UCNgav6lMQF1zFco9_W_GkoQ,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,0
youtube.com/channel/UCNgav6lMQF1zFco9_W_GkoQ,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,
youtube.com/channel/UCNgav6lMQF1zFco9_W_GkoQ,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,0
youtube.com/channel/UCNgav6lMQF1zFco9_W_GkoQ,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,0
youtube.com/channel/UCsq4MGhZrAS0oFgWxgLjdXg,Has Title,Has Description,Location missing,2021,Qtr 1,March,10,,18
youtube.com/channel/UCsq4MGhZrAS0oFgWxgLjdXg,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,18
youtube.com/channel/UCsq4MGhZrAS0oFgWxgLjdXg,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,19
youtube.com/channel/UCsq4MGhZrAS0oFgWxgLjdXg,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,19
youtube.com/channel/UCsq4MGhZrAS0oFgWxgLjdXg,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,19
youtube.com/channel/UC2f6wfMgUdL20cSrh4L2XoA,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,5160
youtube.com/channel/UC2f6wfMgUdL20cSrh4L2XoA,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,5160
youtube.com/channel/UC2f6wfMgUdL20cSrh4L2XoA,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,5160
youtube.com/channel/UC2f6wfMgUdL20cSrh4L2XoA,Has Title,Has Description,Location missing,2022,Qtr 2,May,21,FALSE,5150
youtube.com/channel/UCl4P5q7rLTmH6bjFeQGrrMg,Has Title,Has Description,Germany,2021,Qtr 3,July,29,,533
youtube.com/channel/UCl4P5q7rLTmH6bjFeQGrrMg,Has Title,Has Description,Germany,2021,Qtr 4,December,30,FALSE,533
youtube.com/channel/UCl4P5q7rLTmH6bjFeQGrrMg,Has Title,Has Description,Germany,2022,Qtr 1,January,28,FALSE,532
youtube.com/channel/UCl4P5q7rLTmH6bjFeQGrrMg,Has Title,Has Description,Germany,2022,Qtr 2,May,21,FALSE,529
youtube.com/channel/UCBB9ERt12sMjacsvqvJiyRQ,Has Title,Has Description,Russia,2021,Qtr 4,December,30,FALSE,1060
youtube.com/channel/UCBB9ERt12sMjacsvqvJiyRQ,Has Title,Has Description,Russia,2022,Qtr 1,January,28,FALSE,1070
youtube.com/channel/UCBB9ERt12sMjacsvqvJiyRQ,Has Title,Has Description,Russia,2022,Qtr 2,May,21,FALSE,1060
youtube.com/channel/UCBB9ERt12sMjacsvqvJiyRQ,Has Title,Has Description,Russia,2021,Qtr 3,July,29,,1070
youtube.com/channel/UCzZLWFeDp4twinDEP_-PMXM4,Has Title,Has Description,Canada,2021,Qtr 3,July,29,,2220
youtube.com/channel/UCzZLWFeDp4twinDEP_-PMXM4,Has Title,Has Description,Canada,2021,Qtr 4,December,30,FALSE,2200
youtube.com/channel/UCzZLWFeDp4twinDEP_-PMXM4,Has Title,Has Description,Canada,2022,Qtr 1,January,28,FALSE,2200
youtube.com/channel/UCzZLWFeDp4twinDEP_-PMXM4,Has Title,Has Description,Canada,2022,Qtr 2,May,21,FALSE,2190
youtube.com/channel/UCZx8QzfK-3OQfTR2u_1PeVj1,Has Title,Has Description,Vietnam,2021,Qtr 4,December,30,FALSE,209000
youtube.com/channel/UCZx8QzfK-3OQfTR2u_1PeVj1,Has Title,Has Description,Vietnam,2022,Qtr 1,January,28,FALSE,209000
youtube.com/channel/UCZx8QzfK-3OQfTR2u_1PeVj1,Has Title,Has Description,Vietnam,2022,Qtr 2,May,21,FALSE,208000
youtube.com/channel/UCZx8QzfK-3OQfTR2u_1PeVj1,Has Title,Has Description,Vietnam,2021,Qtr 3,July,29,,211000
youtube.com/channel/UCZUE6AG3q4lv20FpluwIZ8h3,Has Title,No Description,Egypt,2021,Qtr 3,July,29,,9400
youtube.com/channel/UCZUE6AG3q4lv20FpluwIZ8h3,Has Title,No Description,Egypt,2021,Qtr 4,December,30,FALSE,9360
youtube.com/channel/UCZUE6AG3q4lv20FpluwIZ8h3,Has Title,No Description,Egypt,2022,Qtr 1,January,28,FALSE,9350
youtube.com/channel/UCZUE6AG3q4lv20FpluwIZ8h3,Has Title,No Description,Egypt,2022,Qtr 2,May,21,FALSE,9330
youtube.com/channel/UCZSWE3IfD34BPazSMB1pk2a4,Has Title,No Description,Location missing,2021,Qtr 3,July,29,,11
youtube.com/channel/UCZSWE3IfD34BPazSMB1pk2a4,Has Title,No Description,Location missing,2021,Qtr 4,December,30,FALSE,11
youtube.com/channel/UCZSWE3IfD34BPazSMB1pk2a4,Has Title,No Description,Location missing,2022,Qtr 1,January,28,FALSE,11
youtube.com/channel/UCZSWE3IfD34BPazSMB1pk2a4,Has Title,No Description,Location missing,2022,Qtr 2,May,21,FALSE,12
youtube.com/channel/UCzhxyTK7z628ouWSchEV5Wc5,Has Title,Has Description,Netherlands,2021,Qtr 4,December,30,FALSE,922
youtube.com/channel/UCzhxyTK7z628ouWSchEV5Wc5,Has Title,Has Description,Netherlands,2022,Qtr 1,January,28,FALSE,923
youtube.com/channel/UCzhxyTK7z628ouWSchEV5Wc5,Has Title,Has Description,Netherlands,2022,Qtr 2,May,21,FALSE,929
youtube.com/channel/UCzhxyTK7z628ouWSchEV5Wc5,Has Title,Has Description,Netherlands,2021,Qtr 3,July,29,,927
youtube.com/channel/UCZbeBNvc_3t7XGkd0PGjXwE7,Has Title,Has Description,Location missing,2021,Qtr 3,July,29,,115000
youtube.com/channel/UCZbeBNvc_3t7XGkd0PGjXwE7,Has Title,Has Description,Location missing,2021,Qtr 4,December,30,FALSE,115000
youtube.com/channel/UCZbeBNvc_3t7XGkd0PGjXwE7,Has Title,Has Description,Location missing,2022,Qtr 1,January,28,FALSE,115000
