Channel URL,Video URL,Views,Year,Quarter,Month,Day
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=02dDB2JiM,4400,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=0B6Cu1ReY,5679,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=0Ijn787VY,485305,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=19nt74y7M,62,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=1dY1-4nPA,3356,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=4jg7d4cKk,3248005,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=6060S8IF8,149,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=6L4AO8TI0,84,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=88u-j2UOU,9635,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=8upSj77Hk,64490,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=AKYTr1lhg,52,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=ayK303SWM,119,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=b_gL81mbQ,183195,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=bsHjl6Ffg,2688,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=cDIcn219I,66076,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=csNst6tCg,3501,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=DlnkJ2LfI,1397,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=dWOxI4I58,19341,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=DXmJL5Oek,137,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=dyOhZ1dRA,2470,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=eGdxp40Wc,2148,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=ekZ1630rA,996326,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=EuulE37jA,188,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=f_JG24Uy4,239466,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=FXnD52Wt4,2016,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=g4J183UFY,3422046,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=GdU1B96Pw,100,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=GgbjA4YMs,119,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=GJ2Om80dk,87,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=GM-617Z10,2364459,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=h_fwE8MZg,1450,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=h1CQ87Kzk,12034,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=Hl7pn5ycc,259753,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=hlcZI44z8,62,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=hrI3P3zzI,1513222,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=I4nYG5YmM,2850217,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=ibAiP4SSs,1069389,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=iO6zz3poU,14822,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=iSUX-6RJI,349736,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=JdI3-8EbY,1931,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=jfIMn5VoI,17794,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=jUdD86Iyc,4198603,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=K2Zic7VOw,335645,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=LnvjS5f-A,182780,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=mgz-m19FM,563,2021,Qtr 1,March,10
